model,year,distance,price,date,condition
X6 (E71) 40d,12/04식,"142,735km","9,999만원",2020-12-21,sold
X6 (G06) xDrive40i M 스포츠,20/05식,"10,660km","11,000만원",2020-12-20,sold
X6 (E71) 30d,13/02식,"180,000km","1,900만원",2020-12-19,sold
X6 (F16) xDrive 30d,18/07식,"43,000km","6,399만원",2020-12-19,sold
X6 (E71) 30d,11/10식,"138,863km","2,380만원",2020-12-19,sold
X6 (E71) 30d,09/11식,"165,525km","1,980만원",2020-12-19,sold
X6 (E71) 40d,12/02식,"108,577km","2,590만원",2020-12-19,sold
X6 (F16) xDrive 30d,15/03식,"105,000km","4,790만원",2020-12-18,sold
X6 (F16) M50d,16/06식,"49,203km","9,999만원",2020-12-18,sold
X6 (F16) xDrive 30d,18/07식,"41,680km","6,580만원",2020-12-18,sold
X6 (F16) xDrive 30d,16/12식,"77,700km","5,250만원",2020-12-18,sold
X6 (E71) 30d,10/03식,"153,634km","1,590만원",2020-12-18,sold
X6 (F16) xDrive 30d,15/06식,"87,417km","4,860만원",2020-12-17,sold
X6 (F16) xDrive 30d,18/04식,"31,215km","6,700만원",2020-12-17,sold
X6 (F16) xDrive 30d,18/05식,"15,200km","6,950만원",2020-12-17,sold
X6 (F16) xDrive 40d,16/03식,"83,000km","5,350만원",2020-12-16,sold
X6 (F16) xDrive 30d,17/06식,"82,975km","5,750만원",2020-12-16,sold
X6 (E71) 30d,10/07식(11년형),"106,174km","9,999만원",2020-12-16,sold
X6 (E71) 30d,08/07식,"135,000km","1,990만원",2020-12-16,sold
X6 (E71) 30d,09/03식,"247,793km","1,499만원",2020-12-15,sold
X6 (F16) xDrive 30d,17/07식,"78,243km","5,750만원",2020-12-15,sold
X6 (G06) xDrive30d M 스포츠,20/11식(21년형),17km,"11,925만원",2020-12-15,sold
X6 (F16) xDrive 30d,19/05식,"22,814km","7,700만원",2020-12-15,sold
X6 (E71) 30d,13/06식,"150,289km","2,559만원",2020-12-15,sold
X6 (F16) xDrive 30d,16/04식,"44,482km","5,699만원",2020-12-14,sold
X6 (G06) xDrive30d M 스포츠,20/05식,"6,000km","8,324만원",2020-12-14,sold
X6 (G06) xDrive30d M 스포츠 퍼스트 에디션,19/12식(20년형),"13,000km","10,300만원",2020-12-14,sold
X6 (F16) xDrive 40d,16/10식,"70,760km","5,729만원",2020-12-14,sold
X6 (G06) xDrive40i M 스포츠,20/05식,"6,173km","11,200만원",2020-12-14,sold
X6 (F16) xDrive 30d,18/03식,"45,087km","6,499만원",2020-12-14,sold
X6 (F16) xDrive 30d,17/10식,"63,402km","5,850만원",2020-12-14,sold
X6 (F16) xDrive 30d,18/01식,"20,150km","6,790만원",2020-12-14,sold
X6 (E71) 30d,14/04식,"106,595km","3,350만원",2020-12-13,sold
X6 (F16) xDrive 30d,19/05식,"22,714km","7,700만원",2020-12-13,sold
X6 (F16) xDrive 30d,15/07식,"79,068km","5,190만원",2020-12-12,sold
X6 (F16) xDrive 40d M 스포츠,16/02식,"57,327km","4,990만원",2020-12-12,sold
X6 (E71) 30d,13/07식,"68,000km","3,630만원",2020-12-12,sold
X6 (F16) xDrive 30d,18/05식,"46,000km","6,490만원",2020-12-12,sold
X6 (G06) xDrive40i M 스포츠,20/05식,"4,372km","11,200만원",2020-12-12,sold
X6 (F16) M50d,16/04식,"83,258km","6,600만원",2020-12-11,sold
X6 (F16) xDrive 30d,18/07식,"42,790km","6,250만원",2020-12-11,sold
X6 (F16) xDrive 30d,15/03식,"35,744km","5,300만원",2020-12-11,sold
X6 (E71) M50d,13/06식,"187,000km","3,190만원",2020-12-11,sold
X6 (F16) xDrive 30d,16/06식,"120,019km","4,590만원",2020-12-11,sold
